"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "YAML", "JavaScript", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\anieu\tribal-gnosis-live\.eslintrc.json", "JSON with Comments", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\anieu\tribal-gnosis-live\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 55, 0, 0, 0, 0, 16, 71
"c:\Users\anieu\tribal-gnosis-live\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 2, 17, 92
"c:\Users\anieu\tribal-gnosis-live\DEPLOYMENT_FIXES.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 34, 160
"c:\Users\anieu\tribal-gnosis-live\PROJECT.md", "Markdown", 0, 0, 193, 0, 0, 0, 0, 0, 0, 31, 224
"c:\Users\anieu\tribal-gnosis-live\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Users\anieu\tribal-gnosis-live\SUBSCRIPTION_IMPLEMENTATION.md", "Markdown", 0, 0, 203, 0, 0, 0, 0, 0, 0, 41, 244
"c:\Users\anieu\tribal-gnosis-live\TEST_PLAN.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 0, 0, 23, 147
"c:\Users\anieu\tribal-gnosis-live\cypress.config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\anieu\tribal-gnosis-live\cypress\e2e\login.cy.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 1, 7, 37
"c:\Users\anieu\tribal-gnosis-live\cypress\support\e2e.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 10, 3, 27
"c:\Users\anieu\tribal-gnosis-live\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\anieu\tribal-gnosis-live\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\anieu\tribal-gnosis-live\metadata.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\anieu\tribal-gnosis-live\package-lock.json", "JSON", 0, 0, 0, 15700, 0, 0, 0, 0, 0, 1, 15701
"c:\Users\anieu\tribal-gnosis-live\package.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"c:\Users\anieu\tribal-gnosis-live\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\anieu\tribal-gnosis-live\render.yaml", "YAML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\anieu\tribal-gnosis-live\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\README.md", "Markdown", 0, 0, 55, 0, 0, 0, 0, 0, 0, 17, 72
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\db.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 71
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\config\database.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\index.ts", "TypeScript", 0, 585, 0, 0, 0, 0, 0, 0, 64, 117, 766
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\middleware\auth.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 3, 18, 88
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\middleware\subscriptionMiddleware.ts", "TypeScript", 0, 177, 0, 0, 0, 0, 0, 0, 21, 35, 233
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\models\index.ts", "TypeScript", 0, 271, 0, 0, 0, 0, 0, 0, 10, 18, 299
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\models\userManagement.ts", "TypeScript", 0, 283, 0, 0, 0, 0, 0, 0, 17, 22, 322
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\references.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\routes\invitations.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 2, 13, 65
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\routes\userManagement.ts", "TypeScript", 0, 205, 0, 0, 0, 0, 0, 0, 8, 50, 263
